DULICA	ULICA	PSC	DPOSTA	POSTA	POZNAMKA	OBCE
Jánošíkova	Jánošíkova	080 01	Prešov 1	Prešov 1		Prešov
Janouškova	Janouškova	080 01	Prešov 1	Prešov 1		Prešov
Jarková	Jarková	080 01	Prešov 1	Prešov 1		Prešov
Jarná	Jarná	080 06	Prešov 6	Prešov 6		Prešov
Jastrabia	Jastrabia	080 01	Prešov 1	Prešov 1		Prešov
Javorinská	Javorinská	080 01	Prešov 1	Prešov 1		Prešov
Jazdecká	Jazdecká	080 01	Prešov 1	Prešov 1		Prešov
Jazvečia	Jazvečia	080 01	Prešov 1	Prešov 1		Prešov
Jedľová	Jedľová	080 06	Prešov 6	Prešov 6		Prešov
Jelšová	Jelšová	080 05	Prešov 5	Prešov 5		Prešov
Jesenná	Jesenná	080 05	Prešov 5	Prešov 5		Prešov
Jesenského	Jesenského	080 01	Prešov 1	Prešov 1		Prešov
Jilemnického	Jilemnického	080 01	Prešov 1	Prešov 1		Prešov
Jiráskova	Jiráskova	080 05	Prešov 5	Prešov 5		Prešov
Jurkovičova	Jurkovičova	080 01	Prešov 1	Prešov 1		Prešov
Justičná	Justičná	080 01	Prešov 1	Prešov 1		Prešov
Južná	Južná	080 06	Prešov 6	Prešov 6		Prešov
K amfiteátru	K amfiteátru	080 01	Prešov 1	Prešov 1		Prešov
K Okruhliaku	K Okruhliaku	080 01	Prešov 1	Prešov 1		Prešov
K potoku	K potoku	080 01	Prešov 1	Prešov 1		Prešov
K Starej tehelni	K Starej tehelni	080 01	Prešov 1	Prešov 1		Prešov
K studničke	K studničke	080 01	Prešov 1	Prešov 1		Prešov
K Surdoku	K Surdoku	080 01	Prešov 1	Prešov 1		Prešov
Kalinčiakova	Kalinčiakova	080 06	Prešov 6	Prešov 6		Prešov
Kamencová	Kamencová	080 05	Prešov 5	Prešov 5		Prešov
Kamenná	Kamenná	080 01	Prešov 1	Prešov 1		Prešov
Kapušianska	Kapušianska	080 06	Prešov 6	Prešov 6		Prešov
Karpatská	Karpatská	080 01	Prešov 1	Prešov 1		Prešov
Kendická	Kendická	080 01	Prešov 1	Prešov 1		Prešov
Keratsinské námestie	Keratsinské nám.	080 01	Prešov 1	Prešov 1		Prešov
Kmeťovo stromoradie	Kmeťovo stromoradie	080 01	Prešov 1	Prešov 1		Prešov
Kollárova	Kollárova	080 01	Prešov 1	Prešov 1		Prešov
Komenského	Komenského	080 01	Prešov 1	Prešov 1		Prešov
Konštantínova	Konštantínova	080 01	Prešov 1	Prešov 1		Prešov
Korabinského	Korabinského	080 06	Prešov 6	Prešov 6		Prešov
Košická	Košická	080 01	Prešov 1	Prešov 1		Prešov
Kotrádova	Kotrádova	080 01	Prešov 1	Prešov 1		Prešov
Kováčska	Kováčska	080 01	Prešov 1	Prešov 1		Prešov
Kozmonautov	Kozmonautov	080 01	Prešov 1	Prešov 1		Prešov
kpt. Nálepku	kpt. Nálepku	080 01	Prešov 1	Prešov 1		Prešov
Kraskova	Kraskova	080 05	Prešov 5	Prešov 5		Prešov
Krátka	Krátka	080 01	Prešov 1	Prešov 1		Prešov
Krížna	Krížna	080 01	Prešov 1	Prešov 1		Prešov
Krompašská	Krompašská	080 01	Prešov 1	Prešov 1		Prešov
Ku Bánovcu	Ku Bánovcu	080 06	Prešov 6	Prešov 6		Prešov
Ku hati	Ku hati	080 01	Prešov 1	Prešov 1		Prešov
Ku ihrisku	Ku ihrisku	080 06	Prešov 6	Prešov 6		Prešov
Ku Kráľovej hore	Ku Kráľovej hore	080 01	Prešov 1	Prešov 1		Prešov
Ku Kumštu	Ku Kumštu	080 01	Prešov 1	Prešov 1		Prešov
Ku Kyslej vode	Ku Kyslej vode	080 01	Prešov 1	Prešov 1		Prešov
Kukučínova	Kukučínova	080 05	Prešov 5	Prešov 5		Prešov
Kúpeľná	Kúpeľná	080 01	Prešov 1	Prešov 1		Prešov
Kutuzovova	Kutuzovova	080 05	Prešov 5	Prešov 5		Prešov
Kúty	Kúty	080 01	Prešov 1	Prešov 1		Prešov
Kuzmányho	Kuzmányho	080 01	Prešov 1	Prešov 1		Prešov
Kvetná	Kvetná	080 01	Prešov 1	Prešov 1		Prešov
Kysucká	Kysucká	080 05	Prešov 5	Prešov 5		Prešov
Laca Novomeského	L. Novomeského	080 01	Prešov 1	Prešov 1		Prešov
Lastovičia	Lastovičia	080 01	Prešov 1	Prešov 1		Prešov
Lemešanská	Lemešanská	080 01	Prešov 1	Prešov 1		Prešov
Lesík delostrelcov	Lesík delostrelcov	080 01	Prešov 1	Prešov 1		Prešov
Lesná	Lesná	080 01	Prešov 1	Prešov 1		Prešov
Lesnícka	Lesnícka	080 05	Prešov 5	Prešov 5		Prešov
Letná	Letná	080 01	Prešov 1	Prešov 1		Prešov
Levočská	Levočská	080 01	Prešov 1	Prešov 1		Prešov
Lidická	Lidická	080 05	Prešov 5	Prešov 5		Prešov
Liesková	Liesková	080 01	Prešov 1	Prešov 1		Prešov
Limbová	Limbová	080 06	Prešov 6	Prešov 6		Prešov
Lipová	Lipová	080 01	Prešov 1	Prešov 1		Prešov
Líščia	Líščia	080 01	Prešov 1	Prešov 1		Prešov
Lomnická	Lomnická	080 05	Prešov 5	Prešov 5		Prešov
Ľubochnianska	Ľubochnianska	080 06	Prešov 6	Prešov 6		Prešov
Ľubotická	Ľubotická	080 06	Prešov 6	Prešov 6		Prešov
Lúčna	Lúčna	080 06	Prešov 6	Prešov 6		Prešov
Ľudmily Podjavorinskej	Ľ. Podjavorinskej	080 05	Prešov 5	Prešov 5		Prešov
Magurská	Magurská	080 01	Prešov 1	Prešov 1		Prešov
Majakovského	Majakovského	080 01	Prešov 1	Prešov 1		Prešov
Májové námestie	Májové nám.	080 01	Prešov 1	Prešov 1		Prešov
Makarenkova	Makarenkova	080 06	Prešov 6	Prešov 6		Prešov
Malinová	Malinová	080 01	Prešov 1	Prešov 1		Prešov
Marka Čulena	Marka Čulena	080 01	Prešov 1	Prešov 1		Prešov
Martina Benku	Martina Benku	080 01	Prešov 1	Prešov 1		Prešov
Martinská	Martinská	080 01	Prešov 1	Prešov 1		Prešov
Masarykova	Masarykova	080 01	Prešov 1	Prešov 1		Prešov
Matice Slovenskej	Matice Slovenskej	080 01	Prešov 1	Prešov 1		Prešov
Matúša Trenčianského	M. Trenčianského	080 01	Prešov 1	Prešov 1		Prešov
Maybaumova	Maybaumova	080 01	Prešov 1	Prešov 1		Prešov
Medzinárodného dňa žien	MDŽ	080 01	Prešov 1	Prešov 1		Prešov
Metodova	Metodova	080 01	Prešov 1	Prešov 1		Prešov
Mičurinova	Mičurinova	080 01	Prešov 1	Prešov 1		Prešov
Mirka Nešpora	Mirka Nešpora	080 01	Prešov 1	Prešov 1		Prešov
Mlynská	Mlynská	080 01	Prešov 1	Prešov 1		Prešov
Mojmírova	Mojmírova	080 01	Prešov 1	Prešov 1		Prešov
Moyzesova	Moyzesova	080 01	Prešov 1	Prešov 1		Prešov
Mudroňova	Mudroňova	080 01	Prešov 1	Prešov 1		Prešov
Mukačevská	Mukačevská	080 01	Prešov 1	Prešov 1		Prešov
Murárska	Murárska	080 01	Prešov 1	Prešov 1		Prešov
Na brehu	Na brehu	080 05	Prešov 5	Prešov 5		Prešov
Na Rúrkach	Na Rúrkach	080 01	Prešov 1	Prešov 1		Prešov
Na vyhliadke	Na vyhliadke	080 05	Prešov 5	Prešov 5		Prešov
Nábrežná	Nábrežná	080 01	Prešov 1	Prešov 1		Prešov
Námestie 1. mája	Nám. 1. mája	080 01	Prešov 1	Prešov 1		Prešov
Námestie blahoslaveného biskupa Vasiľa H	Nám. blahosl.b.V.Hop	080 01	Prešov 1	Prešov 1		Prešov
Námestie Kráľovnej pokoja	Nám. Kráľovnej pokoj	080 01	Prešov 1	Prešov 1		Prešov
Námestie Krista Kráľa	Nám. Krista Kráľa	080 01	Prešov 1	Prešov 1		Prešov
Námestie legionárov	Nám. legionárov	080 01	Prešov 1	Prešov 1		Prešov
Námestie májového povstania českého ľudu	Nám. máj. pov. čes.	080 01	Prešov 1	Prešov 1		Prešov
Námestie mieru	Nám. mieru	080 01	Prešov 1	Prešov 1		Prešov
Námestie mládeže	Nám. mládeže	080 01	Prešov 1	Prešov 1		Prešov
Námestie národného povstania	Nám. národ. povst.	080 01	Prešov 1	Prešov 1		Prešov
Námestie osloboditeľov	Nám. osloboditeľov	080 05	Prešov 5	Prešov 5		Prešov
Narcisová	Narcisová	080 01	Prešov 1	Prešov 1		Prešov
Nižnianska	Nižnianska	080 06	Prešov 6	Prešov 6		Prešov
Nová	Nová	080 06	Prešov 6	Prešov 6		Prešov
Obrancov mieru	Obrancov mieru	080 01	Prešov 1	Prešov 1		Prešov
Odborárska	Odborárska	080 01	Prešov 1	Prešov 1		Prešov
Okrajová	Okrajová	080 05	Prešov 5	Prešov 5		Prešov
Okruhliak	Okruhliak	080 01	Prešov 1	Prešov 1		Prešov
Okružná	Okružná	080 01	Prešov 1	Prešov 1		Prešov
Októbrová	Októbrová	080 01	Prešov 1	Prešov 1		Prešov
Ondavská	Ondavská	080 05	Prešov 5	Prešov 5		Prešov
Opavská	Opavská	080 05	Prešov 5	Prešov 5		Prešov
Oravská	Oravská	080 01	Prešov 1	Prešov 1		Prešov
Orgovánová	Orgovánová	080 01	Prešov 1	Prešov 1		Prešov
Ortáše	Ortáše	080 01	Prešov 1	Prešov 1		Prešov
Padlých hrdinov	Padlých hrdinov	080 05	Prešov 5	Prešov 5		Prešov
Palackého	Palackého	080 05	Prešov 5	Prešov 5		Prešov
Palárikova	Palárikova	080 05	Prešov 5	Prešov 5		Prešov
Partizánska	Partizánska	080 01	Prešov 1	Prešov 1		Prešov
Pavla Horova	Pavla Horova	080 01	Prešov 1	Prešov 1		Prešov
Pavlovičovo námestie	Pavlovičovo nám.	080 01	Prešov 1	Prešov 1		Prešov
Pažica	Pažica	080 06	Prešov 6	Prešov 6		Prešov
Pekná	Pekná	080 05	Prešov 5	Prešov 5		Prešov
Petöfiho	Petöfiho	080 01	Prešov 1	Prešov 1		Prešov
Petrovianska	Petrovianska	080 05	Prešov 5	Prešov 5		Prešov
Pionierska	Pionierska	080 05	Prešov 5	Prešov 5		Prešov
Platanová	Platanová	080 06	Prešov 6	Prešov 6		Prešov
Plavárenská	Plavárenská	080 01	Prešov 1	Prešov 1		Prešov
Plzeňská	Plzeňská	080 01	Prešov 1	Prešov 1		Prešov
Pod Furčou	Pod Furčou	080 01	Prešov 1	Prešov 1		Prešov
Pod hájom - Ľubotice	Pod hájom - Ľubotice	080 06	Prešov 6	Prešov 6		Prešov
Pod Hrádkom	Pod Hrádkom	080 05	Prešov 5	Prešov 5		Prešov
Pod Kalváriou	Pod Kalváriou	080 01	Prešov 1	Prešov 1		Prešov
Pod Kamennou baňou	Pod Kamennou baňou	080 01	Prešov 1	Prešov 1		Prešov
Pod komínom	Pod komínom	080 01	Prešov 1	Prešov 1		Prešov
Pod mlákou	Pod mlákou	080 01	Prešov 1	Prešov 1		Prešov
Pod Skalkou	Pod Skalkou	080 01	Prešov 1	Prešov 1		Prešov
Pod Šalgovíkom	Pod Šalgovíkom	080 01	Prešov 1	Prešov 1		Prešov
Pod Táborom	Pod Táborom	080 01	Prešov 1	Prešov 1		Prešov
Pod Turňou	Pod Turňou	080 05	Prešov 5	Prešov 5		Prešov
Pod Vinicami	Pod Vinicami	080 01	Prešov 1	Prešov 1		Prešov
Pod Wilec hôrkou	Pod Wilec hôrkou	080 01	Prešov 1	Prešov 1		Prešov
Poľná	Poľná	080 06	Prešov 6	Prešov 6		Prešov
Popradská	Popradská	080 01	Prešov 1	Prešov 1		Prešov
Pöschlova	Pöschlova	080 01	Prešov 1	Prešov 1		Prešov
Potočná	Potočná	080 06	Prešov 6	Prešov 6		Prešov
Požiarnická	Požiarnická	080 01	Prešov 1	Prešov 1		Prešov
Pri hati	Pri hati	080 05	Prešov 5	Prešov 5		Prešov
Pri ihrisku	Pri ihrisku	080 06	Prešov 6	Prešov 6		Prešov
Pri mlyne	Pri mlyne	080 01	Prešov 1	Prešov 1		Prešov
Pri Toryse	Pri Toryse	080 01	Prešov 1	Prešov 1		Prešov
Pribinova	Pribinova	080 01	Prešov 1	Prešov 1		Prešov
Prostějovská	Prostějovská	080 01	Prešov 1	Prešov 1		Prešov
Protifašistických bojovníkov	Protifaš. bojovníkov	080 01	Prešov 1	Prešov 1		Prešov
Pustá dolina	Pustá dolina	080 01	Prešov 1	Prešov 1		Prešov
Puškinova	Puškinova	080 01	Prešov 1	Prešov 1		Prešov
Račia	Račia	080 01	Prešov 1	Prešov 1		Prešov
Radlinského	Radlinského	080 01	Prešov 1	Prešov 1		Prešov
Rampová	Rampová	080 06	Prešov 6	Prešov 6		Prešov
Rastislavova	Rastislavova	080 01	Prešov 1	Prešov 1		Prešov
Raymanova	Raymanova	080 01	Prešov 1	Prešov 1		Prešov
Riečna	Riečna	080 01	Prešov 1	Prešov 1		Prešov
Rombauerova	Rombauerova	080 01	Prešov 1	Prešov 1		Prešov
Royova	Royova	080 05	Prešov 5	Prešov 5		Prešov
Rumanova	Rumanova	080 01	Prešov 1	Prešov 1		Prešov
Rúrky	Rúrky	080 01	Prešov 1	Prešov 1		Prešov
Rusínska	Rusínska	080 01	Prešov 1	Prešov 1		Prešov
Ružová	Ružová	080 01	Prešov 1	Prešov 1		Prešov
Rybárska	Rybárska	080 06	Prešov 6	Prešov 6		Prešov
Rybníčky	Rybníčky	080 01	Prešov 1	Prešov 1		Prešov
Sabinovská	Sabinovská	080 01	Prešov 1	Prešov 1		Prešov
Sadová	Sadová	080 05	Prešov 5	Prešov 5		Prešov
Sázavského	Sázavského	080 01	Prešov 1	Prešov 1		Prešov
Sedliackeho povstania	Sedliackeho povst.	080 01	Prešov 1	Prešov 1		Prešov
Sekčovská	Sekčovská	080 01	Prešov 1	Prešov 1		Prešov
Severná	Severná	080 01	Prešov 1	Prešov 1		Prešov
Sibírska	Sibírska	080 01	Prešov 1	Prešov 1		Prešov
Sídlisko duklianských hrdinov	Sídl.dukl. hrdinov	080 01	Prešov 1	Prešov 1		Prešov
Sládkovičova	Sládkovičova	080 01	Prešov 1	Prešov 1		Prešov
Slanská	Slanská	080 06	Prešov 6	Prešov 6		Prešov
Slávičia	Slávičia	080 01	Prešov 1	Prešov 1		Prešov
Slnečná	Slnečná	080 01	Prešov 1	Prešov 1		Prešov
Slovenská	Slovenská	080 01	Prešov 1	Prešov 1		Prešov
Smetanova	Smetanova	080 05	Prešov 5	Prešov 5		Prešov
Smreková	Smreková	080 01	Prešov 1	Prešov 1		Prešov
Sokolia	Sokolia	080 01	Prešov 1	Prešov 1		Prešov
Soľanková	Soľanková	080 05	Prešov 5	Prešov 5		Prešov
Solivarská	Solivarská	080 05	Prešov 5	Prešov 5		Prešov
Soľná	Soľná	080 05	Prešov 5	Prešov 5		Prešov
Soľnobanská	Soľnobanská	080 05	Prešov 5	Prešov 5		Prešov
Stavbárska	Stavbárska	080 01	Prešov 1	Prešov 1		Prešov
Strážnická	Strážnická	080 06	Prešov 6	Prešov 6		Prešov
Strojnícka	Strojnícka	080 06	Prešov 6	Prešov 6		Prešov
Suchomlynská	Suchomlynská	080 01	Prešov 1	Prešov 1		Prešov
Súľovská	Súľovská	080 01	Prešov 1	Prešov 1		Prešov
Surdok	Surdok	080 01	Prešov 1	Prešov 1		Prešov
Suvorovova	Suvorovova	080 05	Prešov 5	Prešov 5		Prešov
Svätoplukova	Svätoplukova	080 01	Prešov 1	Prešov 1		Prešov
Šafárikova	Šafárikova	080 01	Prešov 1	Prešov 1		Prešov
Šalgovická	Šalgovická	080 06	Prešov 6	Prešov 6		Prešov
Šarišská	Šarišská	080 01	Prešov 1	Prešov 1		Prešov
Šebastovská	Šebastovská	080 06	Prešov 6	Prešov 6		Prešov
Šidlovská	Šidlovská	080 01	Prešov 1	Prešov 1		Prešov
Šípková	Šípková	080 05	Prešov 5	Prešov 5		Prešov
Školská	Školská	080 06	Prešov 6	Prešov 6		Prešov
Škultétyho	Škultétyho	080 01	Prešov 1	Prešov 1		Prešov
Šmeralova	Šmeralova	080 01	Prešov 1	Prešov 1		Prešov
Šoltésovej	Šoltésovej	080 01	Prešov 1	Prešov 1		Prešov
Špitálska	Špitálska	080 01	Prešov 1	Prešov 1		Prešov
Športová	Športová	080 01	Prešov 1	Prešov 1		Prešov
Šrobárova	Šrobárova	080 01	Prešov 1	Prešov 1		Prešov
Štefánikova	Štefánikova	080 01	Prešov 1	Prešov 1		Prešov
Štúrova	Štúrova	080 01	Prešov 1	Prešov 1		Prešov
Švábska	Švábska	080 05	Prešov 5	Prešov 5		Prešov
Tajovského	Tajovského	080 05	Prešov 5	Prešov 5		Prešov
Tarasa Ševčenka	Tarasa Ševčenka	080 01	Prešov 1	Prešov 1		Prešov
Tatranská	Tatranská	080 01	Prešov 1	Prešov 1		Prešov
Tehelná	Tehelná	080 01	Prešov 1	Prešov 1		Prešov
Tekeľova	Tekeľova	080 06	Prešov 6	Prešov 6		Prešov
Terchovská	Terchovská	080 01	Prešov 1	Prešov 1		Prešov
Teriakovská	Teriakovská	080 01	Prešov 1	Prešov 1		Prešov
Tesárska	Tesárska	080 01	Prešov 1	Prešov 1		Prešov
Tkáčska	Tkáčska	080 01	Prešov 1	Prešov 1		Prešov
Tokajícka	Tokajícka	080 05	Prešov 5	Prešov 5		Prešov
Tomášikova	Tomášikova	080 01	Prešov 1	Prešov 1		Prešov
Topoľová	Topoľová	080 06	Prešov 6	Prešov 6		Prešov
Trnková	Trnková	080 06	Prešov 6	Prešov 6		Prešov
Údenárska	Údenárska	080 01	Prešov 1	Prešov 1		Prešov
Urbánkova	Urbánkova	080 01	Prešov 1	Prešov 1		Prešov
Urxova	Urxova	080 05	Prešov 5	Prešov 5		Prešov
Úzka	Úzka	080 05	Prešov 5	Prešov 5		Prešov
Vajanského	Vajanského	080 01	Prešov 1	Prešov 1		Prešov
Vaľkovská	Vaľkovská	080 05	Prešov 5	Prešov 5		Prešov
Vansovej	Vansovej	080 01	Prešov 1	Prešov 1		Prešov
Važecká	Važecká	080 05	Prešov 5	Prešov 5		Prešov
Včelárska	Včelárska	080 06	Prešov 6	Prešov 6		Prešov
Veselá	Veselá	080 01	Prešov 1	Prešov 1		Prešov
Veterná	Veterná	080 01	Prešov 1	Prešov 1		Prešov
Vihorlatská	Vihorlatská	080 01	Prešov 1	Prešov 1		Prešov
Višňová	Višňová	080 01	Prešov 1	Prešov 1		Prešov
Vlada Clementisa	V. Clementisa	080 01	Prešov 1	Prešov 1		Prešov
Vlčia	Vlčia	080 01	Prešov 1	Prešov 1		Prešov
Vodárenská	Vodárenská	080 01	Prešov 1	Prešov 1		Prešov
Vodná	Vodná	080 06	Prešov 6	Prešov 6		Prešov
Volgogradská	Volgogradská	080 01	Prešov 1	Prešov 1		Prešov
Vranovská	Vranovská	080 06	Prešov 6	Prešov 6		Prešov
Vŕbová	Vŕbová	080 01	Prešov 1	Prešov 1		Prešov
Vydumanec	Vydumanec	080 01	Prešov 1	Prešov 1		Prešov
Východná	Východná	080 01	Prešov 1	Prešov 1		Prešov
Weberova	Weberova	080 01	Prešov 1	Prešov 1		Prešov
Wolkerova	Wolkerova	080 01	Prešov 1	Prešov 1		Prešov
Za Kalváriou	Za Kalváriou	080 01	Prešov 1	Prešov 1		Prešov
Za potokom	Za potokom	080 06	Prešov 6	Prešov 6		Prešov
Zabíjaná	Zabíjaná	080 01	Prešov 1	Prešov 1		Prešov
Záborského	Záborského	080 01	Prešov 1	Prešov 1		Prešov
Záhradná	Záhradná	080 01	Prešov 1	Prešov 1		Prešov
Záhradnícka	Záhradnícka	080 01	Prešov 1	Prešov 1		Prešov
Záhrady	Záhrady	080 01	Prešov 1	Prešov 1		Prešov
Západná	Západná	080 01	Prešov 1	Prešov 1		Prešov
Zápotockého	Zápotockého	080 01	Prešov 1	Prešov 1		Prešov
Zborovská	Zborovská	080 05	Prešov 5	Prešov 5		Prešov
Zemplínska	Zemplínska	080 01	Prešov 1	Prešov 1		Prešov
Zimná	Zimná	080 01	Prešov 1	Prešov 1		Prešov
Zlatobanská	Zlatobanská	080 05	Prešov 5	Prešov 5		Prešov
Železničiarska	Železničiarska	080 01	Prešov 1	Prešov 1		Prešov
Železničná	Železničná	080 06	Prešov 6	Prešov 6		Prešov
A. Bernoláka	A. Bernoláka	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Andreja Hlinku	Andreja Hlinku	034 06	Ružomberok 6	Ružomberok 6		Ružomberok
B. Björnsona	B. Björnsona	034 06	Ružomberok 6	Ružomberok 6		Ružomberok
Baničné	Baničné	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Bottova	Bottova	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Brezová	Brezová	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Bystrická cesta	Bystrická cesta	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Cesta do tehelne	Cesta do tehelne	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Cesta na Vlkolínec	Cesta na Vlkolínec	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Cinorínska	Cinorínska	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Černovských martýrov	Černovských martýrov	034 06	Ružomberok 6	Ružomberok 6		Ružomberok
Čremošná	Čremošná	034 06	Ružomberok 6	Ružomberok 6		Ružomberok
Čutkovská	Čutkovská	034 06	Ružomberok 6	Ružomberok 6		Ružomberok
D. Makovického	D. Makovického	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Do Baničného	Do Baničného	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Do Dielca	Do Dielca	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Do Uhliska	Do Uhliska	034 03	Ružomberok 3	Ružomberok 3		Ružomberok
Do Žlebín	Do Žlebín	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Dolná	Dolná	034 06	Ružomberok 6	Ružomberok 6		Ružomberok
Dončová	Dončová	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Družstevná	Družstevná	034 03	Ružomberok 3	Ružomberok 3		Ružomberok
E. Bohúňa	E. Bohúňa	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Fatranská	Fatranská	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
generála Miloša Vesela	gen. Miloša Vesela	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Hlavná	Hlavná	034 03	Ružomberok 3	Ružomberok 3		Ružomberok
Hlavná stanica	Hlavná stanica	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Hollého	Hollého	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Horská	Horská	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Hrabovská cesta	Hrabovská cesta	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Hrabovská dolina	Hrabovská dolina	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Hriadky	Hriadky	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Hurbanova	Hurbanova	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Hviezdoslavova	Hviezdoslavova	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
I. Houdeka	I. Houdeka	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
J. Hanulu	J. Hanulu	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
J. Jančeka	J. Jančeka	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
J. Páričku	J. Páričku	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
J. Sladkého	J. Sladkého	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Jánošíkova	Jánošíkova	034 06	Ružomberok 6	Ružomberok 6		Ružomberok
Jarná	Jarná	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Jazierce	Jazierce	034 03	Ružomberok 3	Ružomberok 3		Ružomberok
Jelence	Jelence	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
K. F. Palmu	K. F. Palmu	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
K. Krčméryho	K. Krčméryho	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
K. Medveckého	K. Medveckého	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
K. Salvu	K. Salvu	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
K. Sidora	K. Sidora	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Kalvárska	Kalvárska	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Klačník	Klačník	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Kľačno	Kľačno	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Komenského	Komenského	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Korytnická	Korytnická	034 03	Ružomberok 3	Ružomberok 3		Ružomberok
Kosovo	Kosovo	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Ku ihrisku	Ku ihrisku	034 06	Ružomberok 6	Ružomberok 6		Ružomberok
Ku Revúcej	Ku Revúcej	034 03	Ružomberok 3	Ružomberok 3		Ružomberok
Kukučínova	Kukučínova	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Kuzmányho	Kuzmányho	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Ľ. Fullu	Ľ. Fullu	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Ľ. Štúra	Ľ. Štúra	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Laziny	Laziny	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Lepenkáreň	Lepenkáreň	034 03	Ružomberok 3	Ružomberok 3		Ružomberok
Lesná	Lesná	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Liptovská	Liptovská	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Luhy	Luhy	034 03	Ružomberok 3	Ružomberok 3		Ružomberok
M. Madačova	M. Madačova	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Majere	Majere	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Malé domky	Malé domky	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Malé Tatry	Malé Tatry	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Maliné Brdo	Maliné Brdo	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Malý Závoz	Malý Závoz	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Milkov	Milkov	034 06	Ružomberok 6	Ružomberok 6		Ružomberok
Mlynská	Mlynská	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Mostová	Mostová	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Murgašova	Murgašova	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
N. Matejkovo	N. Matejkovo	034 03	Ružomberok 3	Ružomberok 3		Ružomberok
Na Hôrky	Na Hôrky	034 06	Ružomberok 6	Ružomberok 6		Ružomberok
Na Pruty	Na Pruty	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Na vyhliadke	Na vyhliadke	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Nábrežie M. R. Štefánika	Nábr. M. R. Štefánik	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Nad Skalkou	Nad Skalkou	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Nad štadiónom	Nad štadiónom	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Nad vŕškom	Nad vŕškom	034 03	Ružomberok 3	Ružomberok 3		Ružomberok
Námestie A. Hlinku	Nám. A. Hlinku	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
Námestie slobody	Nám. slobody	034 01	Ružomberok 1	Ružomberok 1		Ružomberok
